date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
9/15/16 6:00,,2,48.125,0.8,1961.75,591,3.8,6.275,,0,0,12.65,
9/15/16 7:00,,2,45.85,6.9,2257,581.975,4.65,9.825,,0,0,13.395,
9/15/16 8:00,,2,42.125,11.175,2542.75,575.475,5.25,14.075,,0,0,13.925,
9/15/16 9:00,,2,39.7,11.55,3061.75,557.3,7.075,17,,0,0,15.38,
9/15/16 10:00,,2,40.75,13.275,2932,564.3,9.075,19.7,,0,0,15.8925,
9/15/16 11:00,,2,42.75,15.675,2917.75,566.5,11.075,22.175,,0,0,14.18,
9/15/16 12:00,,2,43.275,18.1,2986.5,564.95,11.85,24.9,,0,0,14.57,
9/15/16 13:00,,2,44.625,20.15,3065,562.8,12.275,27.575,,0,0,14.545,
9/15/16 14:00,,2,45.525,22.4,2917.5,567.95,12.65,30.175,,0,0,13.9175,
9/15/16 15:00,,2,46.425,22.875,2903.25,568.525,12.9,31.575,,0,0,13.8625,
9/15/16 16:00,,2,48.25,22.575,2926.75,568.175,12.125,32.3,,0,0,13.8,
9/15/16 17:00,,2,50.875,20.975,2629.25,578.15,10.425,31.9,,0,0,12.8525,
9/15/16 18:00,,2,52.175,16.35,2545,581.725,6.75,27.4,,0,0,12.7675,
9/15/16 19:00,,2,50.05,8.625,2380.25,585.35,4.65,18.5,,0,0,12.7075,
9/15/16 20:00,,2,45.525,4.45,2209.25,587.625,2.85,12.95,,0,0,12.655,
9/15/16 21:00,,2,43.95,2.1,2069.25,590.25,1.925,9.925,,0,0,12.5175,
9/15/16 22:00,,2,43.8,1.9,2013,591.85,2.1,10.425,,0,0,12.465,
9/15/16 23:00,,2,41.55,1.575,1993.25,592.9,1.975,10.575,,0,0,12.4,
9/16/16 0:00,,2,43.05,1.05,1968.75,593.825,2.25,10.3,,0,0,12.3225,
9/16/16 1:00,,2,39.825,-0.1,1946.5,594.85,0.9,10.025,,0,0,12.255,
9/16/16 2:00,,2,45.775,-0.925,1930.25,595,2.85,9.05,,0,0,12.2625,
9/16/16 3:00,,2,45.475,-0.925,1914.75,595,3.35,6.925,,0,0,12.295,
9/16/16 4:00,,2,46.275,-1.45,1871.75,595.9,2.65,5.125,,0,0,12.275,
9/16/16 5:00,,2,45.925,-1.85,1827.75,597.05,2,4.725,,0,0,12.26,
9/16/16 6:00,,2,45.175,-1.425,1868,595.3,2.55,4.575,,0,0,12.52,
9/16/16 7:00,,2,42.025,4.975,2150.5,585.425,6,8.125,,0,0,13.3,
