timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:24:46,---,61.54,0,0,0.139896,0.233381,-0.826374,---,---,---
08/03/2016 07:24:49,19.74,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:50,---,61.54,0,0,0.140133,0.233395,-0.826378,---,---,---
08/03/2016 07:24:54,19.74,---,---,---,---,---,---,---,---,---
08/03/2016 07:24:55,---,61.55,0,0,0.140417,0.2334,-0.826381,---,---,---
08/03/2016 07:24:59,19.75,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:00,---,61.55,0,0,0.140739,0.233408,-0.826381,---,---,---
08/03/2016 07:25:04,19.75,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:05,---,61.55,0,0,0.14098,0.233432,-0.826386,---,---,---
08/03/2016 07:25:09,19.75,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:10,---,61.56,0,0,0.141214,0.233415,-0.826383,---,---,---
08/03/2016 07:25:14,19.76,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:15,---,61.56,0,0,0.141444,0.233429,-0.826387,---,---,---
08/03/2016 07:25:19,19.76,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:20,---,61.57,0,0,0.141609,0.233437,-0.826385,---,---,---
08/03/2016 07:25:25,19.76,61.57,---,---,---,---,---,---,---,---
08/03/2016 07:25:26,---,---,0,0,0.141817,0.233429,-0.82639,---,---,---
08/03/2016 07:25:29,19.77,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:30,---,61.57,0,0,0.142121,0.233438,-0.826406,---,---,---
08/03/2016 07:25:36,19.77,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:37,---,---,0,0,0.142398,0.233449,-0.826407,---,---,---
08/03/2016 07:25:39,19.77,---,---,---,---,---,---,---,---,---
08/03/2016 07:25:40,---,61.57,0,0,0.142638,0.233472,-0.826408,---,---,---
